iter	Passed	Remaining
0	549	548781
1	591	295373
2	633	210390
3	656	163556
4	680	135333
5	703	116534
6	714	101371
7	738	91599
8	762	83980
9	785	77754
10	804	72307
11	827	68092
12	838	63692
13	864	60893
14	895	58830
15	913	56172
16	934	54035
17	971	53025
18	982	50712
19	997	48870
20	1013	47256
21	1038	46176
22	1066	45300
23	1095	44564
24	1119	43659
25	1146	42964
26	1178	42480
27	1194	41456
28	1219	40819
29	1246	40314
30	1272	39777
31	1281	38750
32	1325	38827
33	1388	39442
34	1417	39076
35	1447	38771
36	1469	38242
37	1498	37929
38	1524	37573
39	1553	37283
40	1585	37073
41	1611	36762
42	1636	36427
43	1648	35825
44	1681	35693
45	1711	35495
46	1739	35263
47	1767	35053
48	1782	34586
49	1797	34153
50	1818	33843
51	1844	33633
52	1853	33112
53	1873	32828
54	1888	32455
55	1902	32065
56	1923	31816
57	1936	31446
58	1948	31078
59	1966	30810
60	1990	30644
61	2017	30520
62	2044	30413
63	2071	30289
64	2092	30097
65	2121	30019
66	2147	29901
67	2157	29565
68	2187	29518
69	2216	29452
70	2244	29366
71	2268	29232
72	2298	29191
73	2320	29038
74	2348	28960
75	2368	28794
76	2392	28676
77	2411	28510
78	2436	28410
79	2444	28107
80	2450	27807
81	2470	27658
82	2492	27537
83	2515	27435
84	2537	27317
85	2558	27193
86	2580	27077
87	2602	26975
88	2624	26868
89	2646	26759
90	2654	26511
91	2673	26387
92	2700	26340
93	2713	26156
94	2734	26052
95	2757	25962
96	2777	25854
97	2787	25660
98	2812	25599
99	2838	25547
100	2861	25470
101	2875	25315
102	2897	25236
103	2924	25193
104	2947	25122
105	2967	25029
106	2983	24901
107	3000	24778
108	3021	24701
109	3043	24623
110	3065	24550
111	3087	24477
112	3108	24398
113	3130	24327
114	3152	24259
115	3176	24209
116	3196	24126
117	3217	24048
118	3240	23988
119	3263	23928
120	3267	23738
121	3289	23672
122	3307	23582
123	3330	23528
124	3345	23416
125	3366	23351
126	3388	23291
127	3400	23164
128	3423	23113
129	3428	22946
130	3441	22831
131	3462	22771
132	3486	22728
133	3505	22654
134	3525	22587
135	3541	22498
136	3563	22449
137	3582	22378
138	3590	22241
139	3612	22193
140	3625	22086
141	3646	22032
142	3668	21984
143	3708	22046
144	3730	21997
145	3753	21953
146	3775	21909
147	3800	21876
148	3819	21815
149	3841	21768
150	3864	21728
151	3885	21676
152	3906	21628
153	3929	21584
154	3950	21537
155	3973	21499
156	3995	21453
157	4004	21338
158	4025	21294
159	4049	21261
160	4074	21231
161	4096	21191
162	4118	21149
163	4140	21106
164	4163	21068
165	4185	21027
166	4208	20993
167	4230	20952
168	4252	20912
169	4275	20875
